,country_name
0,Brunei Darussalam
1,Cayman Islands
2,Sint Maarten (Dutch part)
3,South Africa
4,Uruguay
5,Central African Republic
6,"Egypt, Arab Rep."
7,Madagascar
8,Guatemala
9,Uganda
10,Mexico
11,Sierra Leone
12,Armenia
13,Dominican Republic
14,North Macedonia
15,Tanzania
16,"Gambia, The"
17,Afghanistan
18,"Congo, Rep."
19,Kenya
20,Togo
21,United Kingdom
22,El Salvador
23,"Yemen, Rep."
24,Colombia
25,Faroe Islands
26,New Zealand
27,Benin
28,France
29,Cameroon
30,Niger
31,Mauritania
32,Cambodia
33,Senegal
34,Ukraine
35,Eswatini
36,Nigeria
37,Iraq
38,Chad
39,Mali
40,Mozambique
41,Bangladesh
42,Sao Tome and Principe
43,Malawi
44,South Sudan
45,Burkina Faso
46,"Macao SAR, China"
47,Guinea
48,Nepal
49,Nauru
50,Germany
51,India
52,Angola
53,Somalia
54,Equatorial Guinea
55,Jordan
56,Eritrea
57,Nicaragua
58,"Congo, Dem. Rep."
59,Marshall Islands
60,Zimbabwe
61,Ethiopia
62,Solomon Islands
63,Cuba
64,Cote d'Ivoire
65,Lao PDR
66,Tuvalu
67,Honduras
68,St. Vincent and the Grenadines
69,Serbia
70,Zambia
71,Papua New Guinea
72,Guyana
73,Kiribati
74,Panama
75,Vanuatu
76,Barbados
77,Guinea-Bissau
78,Ecuador
79,Uzbekistan
80,Bhutan
81,Sudan
82,Malta
83,Tajikistan
84,Burundi
85,Indonesia
86,Kyrgyz Republic
87,Liberia
88,Moldova
89,Timor-Leste
90,West Bank and Gaza
91,Comoros
92,Paraguay
93,Maldives
94,"Venezuela, RB"
95,Pakistan
96,Cabo Verde
97,Gabon
98,Vietnam
99,Georgia
100,Romania
101,Bolivia
102,Lesotho
103,Mongolia
104,Belarus
105,Haiti
106,"Iran, Islamic Rep."
107,Russian Federation
108,Ghana
109,Peru
110,St. Lucia
111,Philippines
112,Sri Lanka
113,Kazakhstan
114,Rwanda
115,Thailand
116,Mauritius
117,Turkey
118,Azerbaijan
119,Albania
120,Fiji
121,China
122,Samoa
123,Lithuania
124,Costa Rica
125,Saudi Arabia
126,Argentina
127,Tonga
128,Iceland
129,United States
130,Belize
131,Italy
132,Bosnia and Herzegovina
133,Jamaica
134,Myanmar
135,Oman
136,Seychelles
137,Turks and Caicos Islands
138,United Arab Emirates
139,Syrian Arab Republic
140,"Korea, Dem. People’s Rep."
141,Qatar
142,Antigua and Barbuda
143,Malaysia
144,Cyprus
145,Israel
146,Suriname
147,Poland
148,Chile
149,Montenegro
150,Greenland
151,Morocco
152,Botswana
153,Bahrain
154,Palau
155,Canada
156,Croatia
157,Gibraltar
158,Hungary
159,Switzerland
160,Austria
161,Netherlands
162,Sweden
163,Djibouti
164,Trinidad and Tobago
165,Bulgaria
166,Singapore
167,Kuwait
168,Portugal
169,Lebanon
170,Luxembourg
171,"Bahamas, The"
172,Greece
173,Slovak Republic
174,Aruba
175,Spain
176,Namibia
177,Tunisia
178,Latvia
179,"Korea, Rep."
180,Czech Republic
181,Belgium
182,Liechtenstein
183,Estonia
184,Algeria
185,Australia
186,Japan
187,San Marino
188,Brazil
189,Channel Islands
190,Isle of Man
191,"Hong Kong SAR, China"
192,Finland
193,Monaco
194,Ireland
195,Denmark
196,Bermuda
197,Norway
198,Libya
199,Slovenia
200,New Caledonia
201,Dominica
202,French Polynesia
