,country_name,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y
0,Brunei Darussalam,0.30000000000000004,1.0,,,39.81666666666666,,16.356375,,2.73,,,11.69203379999998,,,,12.376850000000001,,,,,,,,,,,,1.0,1.0,1.0,95.47686999999999,96.649835,88.72742875,35.69016125,2.642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.79037493467331,93.2,,,,66.85000000000001,,,6.901587500000001,1.5934833333333334,,,96.3490419463857,,0.2,2.066666666666667,30.683333333333334,1.0,0.1,2.6,,42.10045017793692,23.513875,,14.7,26.1,,10.25,12.05,4.6,4.65,8.9875,10.2,1.0,0.0598341482673682,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9335,1.0,,,,,
1,Cayman Islands,,,,,,,11.833501121139763,,,164.57999999999998,,,,,,,,,,,,,,,,,,,,3.9750000000000005,,,,,,,,,,,,,,,,,,,,,,,,,83.654025,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
2,Sint Maarten (Dutch part),,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,3.2125000000000004,,,74.884095,8.99488,,,,,,,,,,,,,,,,,,,1.0,,98.76795173797547,,,,,,,0.143436116216579,,,1.0,,,,,,,,,,,,,,,,,,,,,2.03,1.0,,,,,
3,South Africa,1.6,1.0,1.0,83.6,64.05,,21.869875,77.8,,11.42,1.6856265672678226,14.2504564,,91.1,1.0,69.81665000000001,0.9,1.0,54.3375,1.0,11.287500000000001,1.0,1.0,78.6,1.0,,15.6,1.0,1.0,1.0,91.514772,92.47722,84.19821,23.972276,5.271428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.85400009155274,75.5,93.7,87.6,31.6,96.7,1.0,,1.2143,0.7751571428571428,1.0,,72.92841621263678,43.800190782854,2.7,8.5,33.53333333333333,1.0,13.7,3.13032188656368,23.385714285714286,44.73283429314105,35.437875000000005,,31.0,23.616666666666667,14.9,32.6,38.7,11.775,14.85,32.3875,15.95,1.0,0.3482086654158774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.495875,1.0,7.2,15.25,27.299999999999997,4.05,1.85
4,Uruguay,1.04,1.0,,,50.016666666666666,,14.12375,,2.2,38.9,,7.807813839999999,,,,59.64019999999999,0.7,1.0,25.700000000000003,1.0,0.1,1.0,1.0,,,,,1.0,1.0,1.0,98.8018175,98.49207,83.15704,,2.5,1.0,1.0,1.0,1.0,1.0,1.0,,8.859499931335455,76.8,97.2,91.1,65.2,99.275,1.0,,4.1097,4.5176,1.0,,96.00400464388348,,4.5,14.816666666666666,23.75,1.0,0.4,0.6446792954214439,1.9714285714285715,45.06968487580497,5.012250000000002,1.0,21.78333333333333,25.31666666666667,,7.3,9.05,2.3875,6.15,7.675,7.75,1.0,0.03583426766157801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9955,1.0,1.0,7.2,10.7,1.3,1.0
5,Central African Republic,6.125,1.0,8.7603951,,26.783333333333335,,36.776125,,1.0,0.38,383.60934037314024,14.74028819999998,,42.65,1.0,133.64145000000002,,1.0,58.325,1.0,1.6375,1.0,1.0,,,,,1.0,1.0,1.0,25.75638,37.39582,9.699586666666667,1.60102,49.27142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.7537499964237213,,,,14.9,,,,0.2063,0.0721,,,24.87697219235633,16.555375269544275,1.0,,,1.0,82.1,23.95473857539885,,45.51605903041524,59.827,,72.88333333333333,44.2,,116.15,129.05,43.7,80.3,80.38749999999999,49.35,1.0,4.677951624848776,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.962249999999999,1.0,22.65,1.0,40.25,7.0,1.6
6,"Egypt, Arab Rep.",,1.0,23.295528,81.5,68.01666666666667,3.89644205570221,27.8075,1.0,0.775,50.08,1.0,,,90.6,,54.5372,1.0,1.0,26.1,1.0,0.1,1.0,1.0,82.3,2.8,12.9,10.9,1.0,1.0,1.0,66.14740333333333,73.36485666666667,80.828055,30.52989714285714,4.42857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.660000324249285,82.8,90.3,68.1,39.5,91.5,1.0,,1.9415,0.8065,1.0,,93.85257967894894,86.6567253209887,0.1,0.3166666666666667,46.93333333333332,1.0,1.0,0.5352917839217213,12.97142857142857,23.324045900348388,50.1745,5.0,33.33333333333333,20.016666666666666,12.6,21.049999999999997,11.7,9.962499999999999,17.75,18.15,20.3,1.0,0.14922112629655343,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.3865,1.0,1.0,15.7,22.3,9.5,4.8
7,Madagascar,4.342857142857143,1.0,,,27.866666666666664,,33.605875,60.49767,,0.6950000000000001,66.35664965629998,17.37691939999992,,,1.0,114.935475,12.4,1.0,27.2,1.0,0.1,1.0,1.0,,,25.666666666666668,37.13333333333333,1.0,1.0,1.0,70.333695,73.18847,30.879602857142856,4.51860875,32.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5438749939203262,51.1,55.4,40.5,41.9,44.3,1.0,,0.19699999999999998,0.155325,,,9.371325064169593,50.151456061101214,0.5,,,1.0,30.2,43.54167091197523,71.54285714285714,49.073122225881406,65.127375,22.7,42.28333333333333,35.93333333333334,16.4,51.099999999999994,31.85,19.2,35.400000000000006,41.3125,43.349999999999994,1.0,1.7847352198139228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.283125,1.0,29.5,1.25,45.25,6.95,0.95
8,Guatemala,0.48571428571428577,1.0,52.061028,77.6,48.78333333333334,1.1435184525907962,25.836374999999997,65.6,0.6,3.4,0.5162821182273438,11.0870904,,,1.0,74.867725,6.2,1.0,37.037499999999994,1.0,0.1,1.0,1.0,81.3,2.6,25.1,20.7,1.0,1.0,1.0,73.64209666666667,78.86314333333333,42.07838125,20.923853333333334,11.557142857142859,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.5283749997615828,86.2,91.3,1.0,53.2,64.15,1.0,,0.06172,0.3549,,54.45883765841339,64.91428712224948,76.5986839812421,0.7,,,1.0,6.3,6.271417765225684,20.057142857142857,34.061984300826765,43.916250000000005,26.2,38.28333333333333,20.666666666666664,13.9,12.2,30.35,13.9125,20.55,24.7875,25.65,1.0,0.3699457215774476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.06775,1.0,12.4,4.9,46.7,0.8,0.1
9,Uganda,4.25,1.0,5.1772375,27.65,24.56666666666667,3.67971956729889,41.101124999999996,47.135504999999995,,1.0,294.8495228432536,,,91.4,1.0,125.487575,8.6,1.0,52.2375,1.0,2.875,1.0,1.0,52.3,4.5,28.2,24.233333333333334,1.0,1.0,1.0,66.404245,73.36286000000001,,3.72173,30.085714285714282,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.8353749513626103,53.75,95.33333333333333,39.85,63.9,65.8,1.0,,1.3764285714285713,0.1203,1.0,6.702480541550058,18.381794651191314,14.30299616623297,1.0,3.1833333333333336,18.183333333333334,1.0,31.6,7.115530587825037,75.39999999999999,48.9359361082387,78.19525,37.7,54.2,35.45,26.591809560616213,45.5,26.05,22.162499999999998,32.45,39.975,39.75,1.0,2.3171635994808875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.47,1.0,12.025,4.2250000000000005,24.275,4.025,1.0
